k,count,sum_q,sum_e,sum_sstar,sum_bv,sum_qsstar,sum_esstar,sum_qbv,sum_ebv
0,1,-1,1,51,50,-51,51,-50,50
1,25,-25,25,1200,1150,-1200,1200,-1150,1150
2,300,-300,300,13500,12650,-13500,13500,-12650,12650
3,2300,-2300,2300,96600,88550,-96600,96600,-88550,88550
4,12650,-12650,12650,493400,442750,-493400,493400,-442750,442750
5,53130,-53120,53120,1913740,1682450,-1913370,1913370,-1682100,1682100
6,177100,-176900,176900,5855000,5047350,-5848200,5848200,-5041050,5041050
7,480700,-478700,478700,14489500,12257850,-14427300,14427300,-12201400,12201400
8,1081575,-1068575,1068575,29514825,24515700,-29147025,29147025,-24189200,24189200
9,2042975,-1982325,1982375,50110300,40859500,-48559100,48560400,-39515800,39517000
10,3268760,-3054280,3055480,71577760,57203300,-66654180,66682180,-53053400,53078600
11,4457400,-3863250,3876050,86670950,67603900,-74520000,74786000,-57680750,57912550
12,5200300,-3890950,3971200,89589700,67603900,-65881850,67357400,-48990100,50222100
13,5200300,-2905150,3229550,79655900,57203300,-42937850,48192750,-29889750,34027750
14,4457400,-1290250,2155950,61439350,40859500,-16387950,28800650,-9906000,18880900
15,3268760,128000,1407700,41458040,24515700,2342800,17491200,2181050,10449150
16,2042975,765475,1048625,24625525,12257850,9360975,12508425,5096450,6452250
17,1081575,709225,741025,12889650,5047350,8400900,8746700,3435500,3540900
18,480700,406900,408000,5901100,1682450,4960300,4972000,1440450,1442450
19,177100,168100,168100,2320900,442750,2195100,2195100,420700,420700
20,53130,52610,52610,763050,88550,754910,754910,87600,87600
21,12650,12650,12650,202450,12650,202450,202450,12650,12650
22,2300,2300,2300,41400,1150,41400,41400,1150,1150
23,300,300,300,6100,50,6100,6100,50,50
24,25,25,25,575,0,575,575,0,0
25,1,1,1,26,0,26,26,0,0
